date,nav
2026-02-02,119.8682
2026-02-03,115.0374
2026-02-04,109.2925
2026-02-05,95.5201
2026-02-06,110.6993
2026-02-09,113.7021
2026-02-10,111.0025
2026-02-11,104.7660
2026-02-12,98.8583
2026-02-13,109.2095
2026-02-17,108.7338
2026-02-18,107.7151
2026-02-19,108.9794
2026-02-20,111.1063
2026-02-23,105.1197
2026-02-24,106.2675
2026-02-25,119.9398
2026-02-26,120.0404
2026-02-27,116.1994
2026-03-02,123.7300
2026-03-03,121.9431
2026-03-04,134.5276
2026-03-05,131.9926
2026-03-06,126.7379
2026-03-09,131.2389
2026-03-10,131.4258
2026-03-11,130.8455
2026-03-12,128.8690
2026-03-13,129.4580
2026-03-16,135.8809
2026-03-17,140.0832
2026-03-18,135.4622
2026-03-19,133.9431
2026-03-20,130.7330
2026-03-23,132.6364
2026-03-24,120.9129
2026-03-25,122.9788
2026-03-26,117.9354
2026-03-27,111.2367
2026-03-30,109.1477
2026-03-31,115.6848
2026-04-01,114.0201
2026-04-02,112.6184
2026-04-06,115.7565
2026-04-07,115.4363
2026-04-08,116.9412
2026-04-09,113.1316
2026-04-10,113.1171
2026-04-13,118.5236
2026-04-14,125.5958
2026-04-15,131.9229
2026-04-16,134.3222
2026-04-17,140.4183
2026-04-20,142.9507
2026-04-21,133.9664
2026-04-22,142.1911
2026-04-23,136.4169
2026-04-24,136.7680
2026-04-27,134.5143
2026-04-28,132.3823
2026-04-29,125.0621
2026-04-30,127.6173
2026-05-01,133.0813
